account_id,customer_name,national_id,phone_number,origination_date,months_on_book,age,gender,nationality,region,employer_sector,product_type,loan_amount_sar,outstanding_balance_sar,monthly_installment_sar,interest_rate_pct,loan_tenure_months,remaining_tenure_months,collateral_flag,current_dpd,delinquency_bucket,max_dpd_ever,dpd_trend,times_entered_30dpd,ontime_payment_ratio,partial_payment_frequency,avg_payment_ratio,total_payments_made,total_amount_paid_sar,months_since_last_payment,last_payment_amount_sar,total_ptps_made,ptps_kept,ptps_broken,consecutive_broken_ptps,ptp_reliability_rate,avg_days_late_broken_ptp,has_active_ptp,ptp_due_date,ptp_amount_sar,ptp_captured_by,call_pickup_rate,sms_response_rate,whatsapp_response_rate,email_response_rate,preferred_contact_window,days_since_last_contact,contact_attempts_30d,right_party_contact_rate,monthly_income_sar,salary_day,days_to_next_salary,dti_ratio,other_active_loans,bureau_score_at_origination,job_loss_flag,medical_hardship_flag,family_status_change,dispute_flag,fraud_suspected_flag,legal_action_flag,handling_type,assigned_agent_name,assigned_agent_id,settlement_eligible,ots_discount_pct,waiver_requested,ptp_score,pay_probability,risk_tier,recommended_channel,outcome_label
WAT-000001,Hamad Al-Khaldi,1976393807,0516077169,2025-04-20,11,43,Male,Saudi,Dammam,Government,Auto Finance,70500,57500,2190,7.42,36,25,True,30,1-30 DPD,75,Worsening,2,0.7,0.16,0.75,7,11500,0,900,1,0,1,1,0.0,21,False,,0,,0.5,0.4,0.76,0.26,After 9pm,0,2,0.37,11700,1,7,0.187,2,546,False,False,False,False,False,False,AI Only,N/A,N/A,True,15,True,825,0.955,Low Risk,SMS,Paid
WAT-000002,Faisal Al-Asmari,1468422231,0561749137,2019-10-27,76,22,Male,Saudi,Madinah,Private - SME,Personal Finance,20000,8000,410,8.66,60,0,False,15,1-30 DPD,41,Stable,2,0.69,0.2,0.46,52,10000,1,0,1,0,1,1,0.0,41,False,,0,,0.24,0.49,0.85,0.17,9am-12pm,6,4,0.16,3900,27,3,0.105,1,671,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Paid
WAT-000003,Mansour Al-Shahrani,2677891313,0597524784,2024-01-05,26,40,Male,Expat-Arab,Qassim,Private - SME,Personal Finance,79500,40500,2460,7.19,36,10,False,11,1-30 DPD,25,Stable,0,0.72,0.6,0.48,18,21500,1,0,1,0,1,0,0.0,16,False,,0,,0.23,0.41,0.61,0.06,12pm-3pm,1,2,0.19,4300,29,5,0.572,2,643,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,829,0.961,Low Risk,SMS,Pending
WAT-000004,Khalid Al-Omari,2841181123,0589072846,2020-03-16,72,38,Male,Expat-Arab,Madinah,Private - SME,Home Finance,643500,254500,12660,6.73,60,0,True,18,1-30 DPD,50,Worsening,1,0.54,0.18,0.57,38,274000,1,0,0,0,0,0,,0,False,,0,,0.5,0.34,0.61,0.15,12pm-3pm,0,4,0.43,4900,25,1,0.9,1,645,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,True,839,0.98,Low Risk,SMS,Pending
WAT-000005,Mishal Al-Zahrani,1818448172,0559995258,2020-09-04,66,33,Male,Saudi,Madinah,Government,Gold Finance,32500,15500,2840,8.53,12,0,False,422,Write-off,456,Worsening,2,0.09,1.0,0.09,5,1500,23,0,11,0,11,2,0.0,41,False,,0,,0.25,0.52,0.9,0.01,After 9pm,26,11,0.2,8700,29,5,0.326,1,784,False,False,False,False,False,False,Human Led,Abeer Al-Enazi,AGT-026,True,5,False,311,0.02,Very High Risk,Human Agent,Pending
WAT-000006,Nasser Al-Shehri,1647706072,0585097882,2019-06-26,80,30,Male,Saudi,Dammam,Government,Personal Finance,33500,9000,810,7.71,48,0,False,66,61-90 DPD,85,Improving,6,0.41,0.32,0.27,32,7000,3,0,7,4,3,1,0.57,15,False,,0,,0.5,0.11,0.2,0.35,12pm-3pm,20,13,0.44,9300,1,7,0.087,2,693,False,False,False,False,False,False,Human Led,Talal Al-Enezi,AGT-027,False,0,False,708,0.742,Low Risk,SMS,Paid
WAT-000007,Amal Al-Subaie,1138727013,0557079319,2022-06-16,45,52,Female,Saudi,Riyadh,Private - Large,Personal Finance,77500,6000,6750,8.32,12,0,False,74,61-90 DPD,122,Improving,2,0.43,0.52,0.43,19,55000,2,0,2,1,1,1,0.5,35,True,2026-04-08,10000,AI,0.88,0.16,0.18,0.07,6pm-9pm,23,3,0.58,9100,25,1,0.742,2,527,False,False,False,False,False,False,Human Led,Abeer Al-Enazi,AGT-026,False,0,False,779,0.871,Low Risk,SMS,Paid
WAT-000008,Shahad Al-Enazi,1230979360,0585497679,2025-05-31,9,28,Female,Saudi,Riyadh,Government,Personal Finance,34500,11000,2970,6.29,12,3,False,37,31-60 DPD,37,Worsening,6,0.79,0.16,0.72,7,15000,2,0,2,1,1,1,0.5,4,False,,0,,0.25,0.24,0.33,0.08,3pm-6pm,14,8,0.2,7900,1,7,0.376,1,516,True,False,False,False,False,False,AI + Human,Bandar Al-Qahtani,AGT-009,True,10,False,655,0.646,Medium Risk,WhatsApp,Paid
WAT-000009,Ahmed Al-Shehri,1540342035,0549548792,2022-01-17,50,47,Male,Saudi,Riyadh,Semi-Government,Personal Finance,10000,3500,240,7.58,48,0,False,10,1-30 DPD,61,Stable,2,0.45,0.15,0.34,22,2000,0,200,1,0,1,0,0.0,18,False,,0,,0.3,0.23,0.38,0.06,6pm-9pm,0,4,0.23,9000,28,4,0.027,3,727,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Pending
WAT-000010,Mishal Al-Asmari,2785623907,0559858475,2023-07-28,31,33,Male,Expat-Arab,Riyadh,Private - Large,Personal Finance,67000,43000,1660,8.78,48,17,False,2,1-30 DPD,42,Worsening,2,0.62,0.17,0.44,19,14000,1,0,2,1,1,0,0.5,18,True,2026-04-08,2400,AI,0.55,0.25,0.4,0.11,6pm-9pm,0,1,0.47,10700,29,5,0.155,3,585,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Paid
WAT-000011,Ibrahim Al-Ahmadi,1598927698,0545797838,2020-06-20,69,42,Male,Saudi,Jeddah,Government,Auto Finance,142500,17000,4360,6.45,36,0,True,36,31-60 DPD,57,Stable,1,0.46,0.35,0.48,31,65000,1,0,2,1,1,0,0.5,31,False,,0,,0.63,0.61,0.79,0.02,6pm-9pm,1,4,0.54,14600,27,3,0.299,2,452,False,False,False,False,False,False,AI + Human,Hind Al-Juhani,AGT-018,False,0,False,836,0.974,Low Risk,SMS,Paid
WAT-000012,Turki Al-Ruwaili,1451375227,0538212272,2020-02-25,72,50,Male,Saudi,Riyadh,Private - Large,Auto Finance,82000,14500,1680,8.49,60,0,True,436,Write-off,484,Worsening,6,0.35,1.0,0.36,25,15000,19,0,10,1,9,0,0.1,16,False,,0,,0.63,0.07,0.1,0.08,3pm-6pm,6,9,0.48,8400,26,2,0.2,3,727,False,False,False,True,False,False,Human Led,Wafa Al-Shammari,AGT-028,True,15,True,311,0.02,Very High Risk,Human Agent,Not Paid
WAT-000013,Tariq Al-Bogami,1147191405,0543214284,2019-04-14,83,46,Male,Saudi,Dammam,Government,Personal Finance,31500,11000,1410,7.3,24,0,False,16,1-30 DPD,51,Stable,0,0.72,0.48,0.5,59,41500,0,1000,2,0,2,2,0.0,13,False,,0,,0.58,0.25,0.38,0.19,3pm-6pm,4,4,0.45,6900,26,2,0.204,1,779,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Pending
